exercise,type,level
Pullthrough,hinge,1
BW Reverse Lunge,dynamic lunge,1
Pushups,horizontal push,1
Lat Band PullDowns,vertical pull,1
Romanian Deadlifts,hinge,2
DB Suitcase RW Lunge,dynamic lunge,2
DB Benchpress,horizontal push,2
Band Assisted Pull-ups,vertical pull,2
Deadlifts,hinge,3
DB RW Lunge,dynamic lunge,3
BB Benchpress,horizontal push,3
Pull Ups,vertical pull,3
