exercise,type,level
Pilates/Stretching,Flex,1
Pilates/Stretching,Flex,1
Pilates/Stretching,Flex,2
Pilates/Stretching,Flex,2
Pilates/Stretching,Flex,3
Pilates/Stretching,Flex,3
